Date,Jellyfish,Engraulis,Plotosus,Sebastes,Trachurus,Girella,Pseudolabrus,Parajulis,Halichoeres,Chaenogobius,Pterogobius,Tridentiger,Siganus,Sphyraena,Rudarius
2007/11/5,1.8,0,0,39,100,14,1,4,13,0,0,59,0,0,10
2007/11/20,6.133333333,0,0,30,200,10,2,9,19,0,0,62,1,0,33
2007/12/5,29.6,100,0,28,400,28,1,11,24,0,0,43,1,0,9
2007/12/20,40.3125,0,0,85,500,15,3,3,11,0,0,71,0,0,54
2008/1/5,2.2,1200,0,33,0,7,3,5,2,0,0,89,0,0,13
2008/1/20,0.1875,400,0,18,0,3,7,0,0,0,0,51,0,0,31
2008/2/5,0.066666667,0,1,10,0,1,0,0,0,0,0,43,0,0,2
2008/2/20,0,0,0,0,0,0,0,0,0,0,0,24,0,0,3
2008/3/5,0.2,0,0,1,0,3,1,0,0,0,0,39,0,0,7
2008/3/20,0.0625,0,0,11,0,0,2,0,0,0,0,17,0,0,1
2008/4/5,0,0,0,6,0,2,0,0,0,0,0,26,0,0,2
2008/4/20,0.133333333,0,0,69,0,0,0,0,0,0,0,24,0,0,0
2008/5/5,4.266666667,0,0,38,0,10,10,13,18,0,0,12,0,0,8
2008/5/20,2.375,400,0,100,200,0,7,5,26,0,0,12,0,0,6
2008/6/5,0.466666667,0,0,250,7,3,4,14,47,0,0,1,0,0,7
2008/6/20,0.2,0,0,95,100,2,5,17,48,0,0,4,0,0,4
2008/7/5,0.2,20,0,133,1000,4,5,45,28,0,0,0,0,0,4
2008/7/20,0.3125,30,0,143,305,145,6,34,41,0,70,50,0,0,1
2008/8/5,1.866666667,0,100,169,1000,109,1,19,111,0,50,24,0,420,8
2008/8/20,25.25,0,0,43,500,5,10,19,50,0,15,23,0,0,12
2008/9/5,12.46666667,0,0,71,600,113,11,12,59,0,26,15,6,0,19
2008/9/20,15.86666667,0,0,44,400,4,8,27,45,0,0,3,3,0,4
2008/10/5,85,0,0,42,602,30,12,25,73,0,25,8,0,0,32
2008/10/20,172,0,0,74,0,8,3,27,67,0,0,55,8,0,37
2008/11/5,33.66666667,0,0,25,0,15,5,14,10,0,5,41,0,0,0
2008/11/20,223.8,0,0,45,402,20,2,5,0,0,0,73,0,0,9
2008/12/5,7.4,0,0,60,200,1,2,2,2,0,0,74,0,0,4
2008/12/20,37.1875,4500,0,38,0,3,2,4,0,0,9,67,0,0,3
2009/1/5,0.266666667,3,0,3,0,0,3,0,0,0,4,64,0,0,1
2009/1/20,2.125,0,0,6,0,0,1,0,1,0,1,46,0,0,0
2009/2/5,1,0,0,6,0,0,3,0,0,0,0,50,0,0,3
2009/2/20,0.076923077,80,0,2,0,0,1,0,0,0,0,30,0,0,1
2009/3/5,4.2,210,0,1,0,0,0,0,0,0,0,6,0,0,0
2009/3/20,40.75,0,0,2,0,0,0,0,0,0,0,31,0,0,1
2009/4/5,2.066666667,0,0,1,0,0,0,0,0,0,0,17,0,0,0
2009/4/20,2,0,0,110,0,0,5,2,2,0,0,56,0,0,3
2009/5/5,4,0,0,28,500,0,2,12,31,0,1,15,0,0,2
2009/5/20,28.75,100,0,30,6,0,1,25,62,0,0,10,0,0,2
2009/6/5,37.13333333,300,0,35,250,1,7,13,14,0,0,5,0,0,0
2009/6/20,49.26666667,0,0,89,100,0,9,9,62,0,0,1,0,0,1
2009/7/5,14.4,1500,0,43,230,221,7,20,11,0,20,6,0,0,3
2009/7/20,70.375,0,0,47,231,24,3,27,36,0,20,4,0,0,1
2009/8/5,10.33333333,0,0,130,135,29,12,24,19,0,15,7,0,0,9
2009/8/20,4.625,0,150,97,230,17,7,14,27,0,0,40,0,0,10
2009/9/5,101.8,0,3,32,30,30,2,5,23,5,0,67,0,0,11
2009/9/20,31.33333333,0,0,52,200,127,7,23,37,0,4,15,0,0,10
2009/10/5,3.666666667,0,0,15,820,7,8,27,27,0,64,6,0,0,36
2009/10/20,212.5,0,0,21,200,0,9,33,77,0,20,8,0,0,12
2009/11/5,29,0,0,29,300,13,7,38,88,0,6,6,0,0,36
2009/11/20,0.533333333,0,0,11,21,39,4,24,76,0,26,3,0,0,54
2009/12/5,226.6666667,1800,0,23,300,9,0,21,75,0,1,1,0,0,65
2009/12/20,0,0,0,19,0,0,2,0,0,0,0,4,0,0,15
2010/1/5,0,50,0,7,0,0,1,0,0,0,0,15,0,0,1
2010/1/20,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
2010/2/5,0,0,0,1,0,0,1,0,0,0,0,17,0,0,3
2010/2/20,0,100,0,1,0,0,1,0,0,0,0,7,0,0,1
2010/3/5,0,0,0,2,0,0,0,0,0,0,0,13,0,0,6
2010/3/20,0,0,0,12,0,0,0,0,0,0,0,16,0,0,2
2010/4/5,0.4,0,0,77,200,0,0,0,0,0,0,25,0,0,3
2010/4/20,0,0,0,344,0,0,15,0,0,0,0,53,0,0,3
2010/5/5,0.133333333,0,0,97,0,0,13,2,12,0,1,42,0,0,19
2010/5/20,0,0,0,39,0,0,10,17,44,0,0,10,0,0,7
2010/6/5,0.466666667,0,0,42,0,8,9,39,52,0,0,8,0,0,17
2010/6/20,0,0,0,98,0,15,10,37,53,0,0,1,0,0,5
2010/7/5,0,0,2,74,70,0,19,99,108,0,0,3,0,0,3
2010/7/20,0.9375,0,0,148,30,50,19,45,155,0,0,20,0,0,5
2010/8/5,1,0,700,62,503,96,21,43,205,0,20,15,0,0,7
2010/8/20,4.9375,0,0,44,500,84,39,36,178,0,1,8,0,0,3
2010/9/5,5.6,0,150,37,250,15,17,22,201,0,30,6,202,0,176
2010/9/20,42.4,0,0,7,200,2,17,15,104,0,0,2,235,0,7
2010/10/5,2.133333333,0,0,5,500,20,10,27,71,0,0,0,30,0,12
2010/10/20,26.4375,0,50,19,503,27,8,18,132,0,0,1,4,0,18
2010/11/5,50.4,0,0,8,100,16,5,3,52,0,1,6,1,0,11
2010/11/20,3.666666667,0,0,6,0,0,5,7,11,0,0,31,0,0,11
2010/12/5,0,0,0,11,0,0,4,12,0,0,11,33,0,0,5
2010/12/20,0.0625,0,0,6,0,0,3,0,0,0,3,21,0,0,2
2011/1/5,0.066666667,0,0,3,0,0,5,0,0,0,0,28,0,0,4
2011/1/20,0.0625,0,0,4,0,2,2,0,0,0,1,30,0,0,6
2011/2/5,0.266666667,0,0,3,0,2,3,0,0,0,0,72,0,0,1
2011/2/20,0.153846154,0,0,1,0,1,1,0,0,0,0,28,0,0,1
2011/3/5,0.4,0,0,0,0,0,0,0,0,0,0,22,0,0,1
2011/3/20,0.1875,0,0,1,0,0,0,0,0,0,0,4,0,0,0
2011/4/5,0.533333333,0,0,0,0,0,0,0,0,0,0,24,0,0,1
2011/4/20,0.333333333,0,0,4,0,0,3,0,0,0,0,37,0,0,0
2011/5/5,2.4,0,0,5,0,2,2,0,0,0,1,59,0,0,2
2011/5/20,3.875,0,0,9,0,3,1,6,2,0,0,4,0,0,1
2011/6/5,0.933333333,0,0,63,0,1,3,6,31,0,0,26,0,0,8
2011/6/20,0.133333333,0,0,70,200,4,10,13,89,0,0,7,0,0,2
2011/7/5,8.133333333,0,0,78,300,14,5,12,69,0,0,6,0,0,0
2011/7/20,2.3125,0,0,37,253,2,6,16,88,0,0,58,0,0,2
2011/8/5,7.066666667,0,0,14,12,0,12,14,59,0,0,78,0,0,5
2011/8/20,2.8125,0,0,12,1000,10,16,17,73,100,0,233,0,213,9
2011/9/5,42.8,0,150,18,800,0,10,16,32,0,0,24,0,20,5
2011/9/20,15.73333333,0,0,67,400,0,14,18,42,0,0,39,0,0,5
2011/10/5,13.86666667,0,0,12,0,0,5,13,20,0,0,26,0,0,3
2011/10/20,25.9375,200,0,11,50,0,7,5,41,0,0,5,0,0,4
2011/11/5,1.6,0,0,22,0,0,7,8,23,0,0,24,0,0,6
2011/11/20,1.466666667,0,0,6,0,0,2,9,5,0,0,8,0,0,2
2011/12/5,3.8,0,0,28,0,0,7,3,1,0,0,21,0,0,9
2011/12/20,0.1875,0,0,7,0,0,3,0,0,0,0,38,1,0,2
2012/1/5,0.066666667,0,0,4,0,0,2,0,0,0,0,16,0,0,1
2012/1/20,1.25,0,0,0,0,0,5,0,0,0,0,20,0,0,0
2012/2/5,1.933333333,0,0,0,0,0,0,0,0,0,0,7,0,0,0
2012/2/20,0.071428571,0,0,1,0,0,2,0,0,0,0,29,0,0,1
2012/3/5,0.266666667,0,0,0,0,0,0,0,0,0,0,52,0,0,0
2012/3/20,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
2012/4/5,1.466666667,0,0,7,0,0,1,0,0,0,0,23,0,0,0
2012/4/20,0.333333333,0,0,3,0,0,7,0,0,0,0,31,0,0,0
2012/5/5,0.066666667,0,0,12,0,0,6,6,34,0,0,39,0,0,3
2012/5/20,22.5625,0,0,9,0,0,7,13,22,0,0,17,0,0,3
2012/6/5,21.2,0,0,52,0,0,2,19,114,100,0,8,0,0,9
2012/6/20,1,0,0,10,320,0,6,11,74,0,0,3,0,0,3
2012/7/5,0.133333333,0,0,14,103,10,10,12,79,0,54,23,0,0,3
2012/7/20,2.0625,0,0,61,701,132,7,20,75,30,40,5,0,0,7
2012/8/5,5.066666667,0,0,6,570,77,14,16,115,0,40,14,0,0,25
2012/8/20,9.1875,0,100,14,250,58,12,19,67,0,50,1,0,0,11
2012/9/5,15,0,400,9,502,121,10,4,61,0,80,3,50,0,12
2012/9/20,1371,0,0,22,500,80,12,18,150,0,100,8,20,2,8
2012/10/5,33.8,0,0,3,500,5,4,4,11,0,80,1,0,0,2
2012/10/20,2,0,0,12,319,61,11,23,9,0,60,3,0,0,14
2012/11/5,33,0,0,17,350,150,6,23,8,0,50,23,10,0,2
2012/11/20,14,0,10,12,241,5,5,30,1,0,75,65,0,0,8
2012/12/5,35.66666667,0,0,20,200,28,4,11,1,0,28,79,0,0,11
2012/12/20,1.625,0,0,16,100,1,2,1,0,0,13,38,0,0,2
2013/1/5,7.533333333,0,0,10,110,20,4,1,0,1,15,70,0,0,7
2013/1/20,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0
2013/2/5,11.46666667,0,0,4,0,20,0,0,0,0,0,72,0,0,0
2013/2/20,0.923076923,0,0,0,0,0,0,0,0,0,0,33,0,0,0
2013/3/5,1,0,0,1,0,0,0,0,0,0,0,24,0,0,0
2013/3/20,13.875,0,0,9,0,0,0,0,0,0,1,13,0,0,0
2013/4/5,2.4,0,0,30,0,0,0,0,0,0,0,22,0,0,0
2013/4/20,4.133333333,0,0,84,0,0,1,0,0,0,0,74,0,0,0
2013/5/5,2.933333333,0,0,25,0,0,6,9,7,0,0,27,0,0,0
2013/5/20,1.3125,0,0,97,100,5,10,40,57,0,4,21,0,0,5
2013/6/5,15.33333333,0,0,25,2,17,15,19,29,0,2,2,0,0,5
2013/6/20,13.73333333,0,0,64,108,12,25,23,30,0,1,6,0,0,3
2013/7/5,4.733333333,0,0,75,129,20,21,25,73,0,33,3,0,0,1
2013/7/20,7.375,0,0,282,751,23,24,38,28,0,80,18,0,0,5
2013/8/5,4.4,0,450,108,800,60,19,17,20,0,0,28,0,0,40
2013/8/20,20.25,0,200,203,300,22,13,22,23,0,0,8,0,12,24
2013/9/5,0.733333333,0,0,5,400,46,11,26,15,0,0,0,45,0,6
2013/9/20,0.133333333,0,0,6,0,25,15,19,22,0,0,2,3,0,2
2013/10/5,3.266666667,0,0,2,240,92,9,26,2,0,0,0,0,0,5
2013/10/20,0,0,0,6,400,0,8,35,1,0,0,1,0,0,0
2013/11/5,0,0,0,9,400,20,5,10,0,0,0,1,0,0,1
2013/11/20,0,0,0,13,0,9,10,25,1,0,0,2,0,0,3
2013/12/5,0,0,0,12,0,0,6,14,0,0,0,22,0,0,0
2013/12/20,0,0,0,5,0,0,1,0,0,0,0,4,0,0,0
2014/1/5,0,0,0,4,0,0,5,1,0,0,0,19,0,0,0
2014/1/20,0,0,0,9,0,0,0,0,0,0,0,11,0,0,0
2014/2/5,0,150,0,1,0,0,0,0,0,0,0,1,0,0,1
2014/2/20,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
2014/3/5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
2014/3/20,0.25,0,0,0,0,0,0,0,0,0,0,11,0,0,0
2014/4/5,0.666666667,0,0,0,0,0,1,0,0,0,0,9,0,0,1
