Index,Source,Target,Weight,Is_directed
161,"Coelosphaerium","Procladius",1,1
162,"Coelosphaerium","Macropelopis",1,1
163,"Coelosphaerium","Larsia",1,1
164,"Coelosphaerium","Guttipelopia",1,1
165,"Coelosphaerium","Djalmabatista",1,1
166,"Coelosphaerium","Clinotanypus",1,1
167,"Coelosphaerium","Albabesmyia",1,1
168,"Coelosphaerium","Chaoborus punctipennis",1,1
169,"Coelosphaerium","Chaoborus albatus",1,1
170,"Coelosphaerium","Sphaeromais",1,1
171,"Coelosphaerium","Bezzia",1,1
172,"Coelosphaerium","Lepidoptera Pyralidae eoparagyractis",1,1
173,"Coelosphaerium","Magaloptera Sialis",1,1
174,"Coelosphaerium","Cladopelma",1,1
175,"Coelosphaerium","Hemiptera Notonectids",1,1
176,"Coelosphaerium","Hemiptera Veliidae",1,1
177,"Coelosphaerium","Gyrinus",1,1
178,"Coelosphaerium","Neuroptera Climacia",1,1
179,"Coelosphaerium","Chironomus",1,1
180,"Gomphosphaeria","Parachironomus",1,1
181,"Gomphosphaeria","Microtendipes",1,1
182,"Gomphosphaeria","Glyptotendipes",1,1
183,"Aphanocapsa","Parachironomus",1,1
184,"Aphanocapsa","Microtendipes",1,1
185,"Aphanocapsa","Glyptotendipes",1,1
186,"Aphanocapsa","Paratanytarsus",1,1
187,"Aphanocapsa","Cricotopus",1,1
188,"Aphanocapsa","Corynoneura",1,1
189,"Aphanocapsa","Chaetocladius",1,1
190,"Aphanocapsa","Procladius",1,1
191,"Aphanocapsa","Macropelopis",1,1
192,"Aphanocapsa","Larsia",1,1
193,"Aphanocapsa","Guttipelopia",1,1
194,"Aphanocapsa","Djalmabatista",1,1
195,"Aphanocapsa","Clinotanypus",1,1
196,"Aphanocapsa","Albabesmyia",1,1
197,"Aphanocapsa","Chaoborus punctipennis",1,1
198,"Aphanocapsa","Chaoborus albatus",1,1
199,"Aphanocapsa","Sphaeromais",1,1
200,"Aphanocapsa","Bezzia",1,1
201,"Aphanocapsa","Lepidoptera Pyralidae eoparagyractis",1,1
202,"Aphanocapsa","Magaloptera Sialis",1,1
203,"Aphanocapsa","Cladopelma",1,1
204,"Aphanocapsa","Hemiptera Notonectids",1,1
205,"Aphanocapsa","Hemiptera Veliidae",1,1
206,"Aphanocapsa","Gyrinus",1,1
207,"Aphanocapsa","Neuroptera Climacia",1,1
208,"Aphanocapsa","Chironomus",1,1
209,"Merismopedia","Parachironomus",1,1
210,"Merismopedia","Microtendipes",1,1
211,"Merismopedia","Glyptotendipes",1,1
212,"Gloeothece","Parachironomus",1,1
213,"Gloeothece","Microtendipes",1,1
214,"Gloeothece","Glyptotendipes",1,1
215,"Gloeothece","Paratanytarsus",1,1
216,"Gloeothece","Cricotopus",1,1
217,"Gloeothece","Corynoneura",1,1
218,"Gloeothece","Chaetocladius",1,1
219,"Gloeothece","Procladius",1,1
220,"Gloeothece","Macropelopis",1,1
221,"Gloeothece","Larsia",1,1
222,"Gloeothece","Guttipelopia",1,1
223,"Gloeothece","Djalmabatista",1,1
224,"Gloeothece","Clinotanypus",1,1
225,"Gloeothece","Albabesmyia",1,1
226,"Gloeothece","Chaoborus punctipennis",1,1
227,"Gloeothece","Chaoborus albatus",1,1
228,"Gloeothece","Sphaeromais",1,1
229,"Gloeothece","Bezzia",1,1
230,"Gloeothece","Lepidoptera Pyralidae eoparagyractis",1,1
231,"Gloeothece","Magaloptera Sialis",1,1
232,"Gloeothece","Cladopelma",1,1
233,"Gloeothece","Hemiptera Notonectids",1,1
234,"Gloeothece","Hemiptera Veliidae",1,1
235,"Gloeothece","Gyrinus",1,1
236,"Gloeothece","Neuroptera Climacia",1,1
237,"Gloeothece","Chironomus",1,1
238,"Chroococcus","Parachironomus",1,1
239,"Chroococcus","Microtendipes",1,1
240,"Chroococcus","Glyptotendipes",1,1
241,"Zygnema","Parachironomus",1,1
242,"Zygnema","Microtendipes",1,1
243,"Zygnema","Glyptotendipes",1,1
244,"Zygnema","Paratanytarsus",1,1
245,"Zygnema","Cricotopus",1,1
246,"Zygnema","Corynoneura",1,1
247,"Zygnema","Chaetocladius",1,1
248,"Zygnema","Procladius",1,1
249,"Zygnema","Macropelopis",1,1
250,"Zygnema","Larsia",1,1
251,"Zygnema","Guttipelopia",1,1
252,"Zygnema","Djalmabatista",1,1
253,"Zygnema","Clinotanypus",1,1
254,"Zygnema","Albabesmyia",1,1
255,"Zygnema","Chaoborus punctipennis",1,1
256,"Zygnema","Chaoborus albatus",1,1
257,"Zygnema","Sphaeromais",1,1
258,"Zygnema","Bezzia",1,1
259,"Zygnema","Lepidoptera Pyralidae eoparagyractis",1,1
260,"Zygnema","Magaloptera Sialis",1,1
261,"Zygnema","Cladopelma",1,1
262,"Zygnema","Hemiptera Notonectids",1,1
263,"Zygnema","Hemiptera Veliidae",1,1
264,"Zygnema","Gyrinus",1,1
265,"Zygnema","Neuroptera Climacia",1,1
266,"Zygnema","Chironomus",1,1
267,"Tribonema","Parachironomus",1,1
268,"Tribonema","Microtendipes",1,1
269,"Tribonema","Glyptotendipes",1,1
270,"Tribonema","Paratanytarsus",1,1
271,"Tribonema","Cricotopus",1,1
272,"Tribonema","Corynoneura",1,1
273,"Tribonema","Chaetocladius",1,1
274,"Tribonema","Procladius",1,1
275,"Tribonema","Macropelopis",1,1
276,"Tribonema","Larsia",1,1
277,"Tribonema","Guttipelopia",1,1
278,"Tribonema","Djalmabatista",1,1
279,"Tribonema","Clinotanypus",1,1
280,"Tribonema","Albabesmyia",1,1
281,"Tribonema","Chaoborus punctipennis",1,1
282,"Tribonema","Chaoborus albatus",1,1
283,"Tribonema","Sphaeromais",1,1
284,"Tribonema","Bezzia",1,1
285,"Tribonema","Lepidoptera Pyralidae eoparagyractis",1,1
286,"Tribonema","Magaloptera Sialis",1,1
287,"Tribonema","Cladopelma",1,1
288,"Tribonema","Hemiptera Notonectids",1,1
289,"Tribonema","Hemiptera Veliidae",1,1
290,"Tribonema","Gyrinus",1,1
291,"Tribonema","Neuroptera Climacia",1,1
292,"Tribonema","Chironomus",1,1
293,"Spirogyra","Paratanytarsus",1,1
294,"Sphaerozosma","Parachironomus",1,1
295,"Sphaerozosma","Microtendipes",1,1
296,"Sphaerozosma","Glyptotendipes",1,1
297,"Sphaerozosma","Corynoneura",1,1
298,"Sphaerozosma","Chaetocladius",1,1
299,"Sphaerozosma","Procladius",1,1
300,"Sphaerozosma","Macropelopis",1,1
301,"Scytonema","Parachironomus",1,1
302,"Scytonema","Microtendipes",1,1
303,"Scytonema","Glyptotendipes",1,1
304,"Scytonema","Corynoneura",1,1
305,"Scytonema","Chaetocladius",1,1
306,"Scytonema","Procladius",1,1
307,"Scytonema","Macropelopis",1,1
308,"Schizothrix","Parachironomus",1,1
309,"Schizothrix","Microtendipes",1,1
310,"Schizothrix","Glyptotendipes",1,1
311,"Schizothrix","Paratanytarsus",1,1
312,"Schizothrix","Cricotopus",1,1
313,"Schizothrix","Corynoneura",1,1
314,"Schizothrix","Chaetocladius",1,1
315,"Schizothrix","Procladius",1,1
316,"Schizothrix","Macropelopis",1,1
317,"Schizothrix","Larsia",1,1
318,"Schizothrix","Guttipelopia",1,1
319,"Schizothrix","Djalmabatista",1,1
320,"Schizothrix","Clinotanypus",1,1
321,"Schizothrix","Albabesmyia",1,1
322,"Schizothrix","Chaoborus punctipennis",1,1
323,"Schizothrix","Chaoborus albatus",1,1
324,"Schizothrix","Sphaeromais",1,1
325,"Schizothrix","Bezzia",1,1
326,"Schizothrix","Lepidoptera Pyralidae eoparagyractis",1,1
327,"Schizothrix","Magaloptera Sialis",1,1
328,"Schizothrix","Cladopelma",1,1
329,"Schizothrix","Hemiptera Notonectids",1,1
330,"Schizothrix","Hemiptera Veliidae",1,1
331,"Schizothrix","Gyrinus",1,1
332,"Schizothrix","Neuroptera Climacia",1,1
333,"Schizothrix","Chironomus",1,1
334,"Rhizoclonium","Parachironomus",1,1
335,"Rhizoclonium","Microtendipes",1,1
336,"Rhizoclonium","Glyptotendipes",1,1
337,"Rhizoclonium","Paratanytarsus",1,1
338,"Rhizoclonium","Cricotopus",1,1
339,"Rhizoclonium","Corynoneura",1,1
340,"Rhizoclonium","Chaetocladius",1,1
341,"Rhizoclonium","Procladius",1,1
342,"Rhizoclonium","Macropelopis",1,1
343,"Rhizoclonium","Larsia",1,1
344,"Rhizoclonium","Guttipelopia",1,1
345,"Rhizoclonium","Djalmabatista",1,1
346,"Rhizoclonium","Clinotanypus",1,1
347,"Rhizoclonium","Albabesmyia",1,1
348,"Rhizoclonium","Chaoborus punctipennis",1,1
349,"Rhizoclonium","Chaoborus albatus",1,1
350,"Rhizoclonium","Sphaeromais",1,1
351,"Rhizoclonium","Bezzia",1,1
352,"Rhizoclonium","Lepidoptera Pyralidae eoparagyractis",1,1
353,"Rhizoclonium","Magaloptera Sialis",1,1
354,"Rhizoclonium","Cladopelma",1,1
355,"Rhizoclonium","Hemiptera Notonectids",1,1
356,"Rhizoclonium","Hemiptera Veliidae",1,1
357,"Rhizoclonium","Gyrinus",1,1
358,"Rhizoclonium","Neuroptera Climacia",1,1
359,"Rhizoclonium","Chironomus",1,1
360,"Radiofilum","Parachironomus",1,1
361,"Radiofilum","Microtendipes",1,1
362,"Radiofilum","Glyptotendipes",1,1
363,"Radiofilum","Paratanytarsus",1,1
364,"Radiofilum","Cricotopus",1,1
365,"Radiofilum","Corynoneura",1,1
366,"Radiofilum","Chaetocladius",1,1
367,"Radiofilum","Procladius",1,1
368,"Radiofilum","Macropelopis",1,1
369,"Radiofilum","Larsia",1,1
370,"Radiofilum","Guttipelopia",1,1
371,"Radiofilum","Djalmabatista",1,1
372,"Radiofilum","Clinotanypus",1,1
373,"Radiofilum","Albabesmyia",1,1
374,"Radiofilum","Chaoborus punctipennis",1,1
375,"Radiofilum","Chaoborus albatus",1,1
376,"Radiofilum","Sphaeromais",1,1
377,"Radiofilum","Bezzia",1,1
378,"Radiofilum","Lepidoptera Pyralidae eoparagyractis",1,1
379,"Radiofilum","Magaloptera Sialis",1,1
380,"Radiofilum","Cladopelma",1,1
381,"Radiofilum","Hemiptera Notonectids",1,1
382,"Radiofilum","Hemiptera Veliidae",1,1
383,"Radiofilum","Gyrinus",1,1
384,"Radiofilum","Neuroptera Climacia",1,1
385,"Radiofilum","Chironomus",1,1
386,"Plectonema","Parachironomus",1,1
387,"Plectonema","Microtendipes",1,1
388,"Plectonema","Glyptotendipes",1,1
389,"Plectonema","Corynoneura",1,1
390,"Plectonema","Chaetocladius",1,1
391,"Plectonema","Procladius",1,1
392,"Plectonema","Macropelopis",1,1
393,"Phormidium","Parachironomus",1,1
394,"Phormidium","Microtendipes",1,1
395,"Phormidium","Glyptotendipes",1,1
396,"Phormidium","Corynoneura",1,1
397,"Phormidium","Chaetocladius",1,1
398,"Phormidium","Procladius",1,1
399,"Phormidium","Macropelopis",1,1
400,"Oscillatoria","Parachironomus",1,1
401,"Oscillatoria","Microtendipes",1,1
402,"Oscillatoria","Glyptotendipes",1,1
403,"Oscillatoria","Paratanytarsus",1,1
404,"Oscillatoria","Cricotopus",1,1
405,"Oscillatoria","Corynoneura",1,1
406,"Oscillatoria","Chaetocladius",1,1
407,"Oscillatoria","Procladius",1,1
408,"Oscillatoria","Macropelopis",1,1
409,"Oscillatoria","Larsia",1,1
410,"Oscillatoria","Guttipelopia",1,1
411,"Oscillatoria","Djalmabatista",1,1
412,"Oscillatoria","Clinotanypus",1,1
413,"Oscillatoria","Albabesmyia",1,1
414,"Oscillatoria","Chaoborus punctipennis",1,1
415,"Oscillatoria","Chaoborus albatus",1,1
416,"Oscillatoria","Sphaeromais",1,1
417,"Oscillatoria","Bezzia",1,1
418,"Oscillatoria","Lepidoptera Pyralidae eoparagyractis",1,1
419,"Oscillatoria","Magaloptera Sialis",1,1
420,"Oscillatoria","Cladopelma",1,1
421,"Oscillatoria","Hemiptera Notonectids",1,1
422,"Oscillatoria","Hemiptera Veliidae",1,1
423,"Oscillatoria","Gyrinus",1,1
424,"Oscillatoria","Neuroptera Climacia",1,1
425,"Oscillatoria","Chironomus",1,1
426,"Oedogonium","Parachironomus",1,1
427,"Oedogonium","Microtendipes",1,1
428,"Oedogonium","Glyptotendipes",1,1
429,"Oedogonium","Corynoneura",1,1
430,"Oedogonium","Chaetocladius",1,1
431,"Oedogonium","Procladius",1,1
432,"Oedogonium","Macropelopis",1,1
433,"Mougeotia","Parachironomus",1,1
434,"Mougeotia","Microtendipes",1,1
435,"Mougeotia","Glyptotendipes",1,1
436,"Mougeotia","Corynoneura",1,1
437,"Mougeotia","Chaetocladius",1,1
438,"Mougeotia","Procladius",1,1
439,"Mougeotia","Macropelopis",1,1
440,"Microcoleus","Parachironomus",1,1
441,"Microcoleus","Microtendipes",1,1
442,"Microcoleus","Glyptotendipes",1,1
443,"Microcoleus","Paratanytarsus",1,1
444,"Microcoleus","Cricotopus",1,1
445,"Microcoleus","Corynoneura",1,1
446,"Microcoleus","Chaetocladius",1,1
447,"Microcoleus","Procladius",1,1
448,"Microcoleus","Macropelopis",1,1
449,"Microcoleus","Larsia",1,1
450,"Microcoleus","Guttipelopia",1,1
451,"Microcoleus","Djalmabatista",1,1
452,"Microcoleus","Clinotanypus",1,1
453,"Microcoleus","Albabesmyia",1,1
454,"Microcoleus","Chaoborus punctipennis",1,1
455,"Microcoleus","Chaoborus albatus",1,1
456,"Microcoleus","Sphaeromais",1,1
457,"Microcoleus","Bezzia",1,1
458,"Microcoleus","Lepidoptera Pyralidae eoparagyractis",1,1
459,"Microcoleus","Magaloptera Sialis",1,1
460,"Microcoleus","Cladopelma",1,1
461,"Microcoleus","Hemiptera Notonectids",1,1
462,"Microcoleus","Hemiptera Veliidae",1,1
463,"Microcoleus","Gyrinus",1,1
464,"Microcoleus","Neuroptera Climacia",1,1
465,"Microcoleus","Chironomus",1,1
466,"Microchaete","Parachironomus",1,1
467,"Microchaete","Microtendipes",1,1
468,"Microchaete","Glyptotendipes",1,1
469,"Microchaete","Paratanytarsus",1,1
470,"Microchaete","Cricotopus",1,1
471,"Microchaete","Corynoneura",1,1
472,"Microchaete","Chaetocladius",1,1
473,"Microchaete","Procladius",1,1
474,"Microchaete","Macropelopis",1,1
475,"Microchaete","Larsia",1,1
476,"Microchaete","Guttipelopia",1,1
477,"Microchaete","Djalmabatista",1,1
478,"Microchaete","Clinotanypus",1,1
479,"Microchaete","Albabesmyia",1,1
480,"Microchaete","Chaoborus punctipennis",1,1
481,"Microchaete","Chaoborus albatus",1,1
482,"Microchaete","Sphaeromais",1,1
483,"Microchaete","Bezzia",1,1
484,"Microchaete","Lepidoptera Pyralidae eoparagyractis",1,1
485,"Microchaete","Magaloptera Sialis",1,1
486,"Microchaete","Cladopelma",1,1
487,"Microchaete","Hemiptera Notonectids",1,1
488,"Microchaete","Hemiptera Veliidae",1,1
489,"Microchaete","Gyrinus",1,1
490,"Microchaete","Neuroptera Climacia",1,1
491,"Microchaete","Chironomus",1,1
492,"Lyngbya","Parachironomus",1,1
493,"Lyngbya","Microtendipes",1,1
494,"Lyngbya","Glyptotendipes",1,1
495,"Lyngbya","Corynoneura",1,1
496,"Lyngbya","Chaetocladius",1,1
497,"Lyngbya","Procladius",1,1
498,"Lyngbya","Macropelopis",1,1
499,"Hyalotheca","Parachironomus",1,1
500,"Hyalotheca","Microtendipes",1,1
501,"Hyalotheca","Glyptotendipes",1,1
502,"Hyalotheca","Paratanytarsus",1,1
503,"Hyalotheca","Cricotopus",1,1
504,"Hyalotheca","Corynoneura",1,1
505,"Hyalotheca","Chaetocladius",1,1
506,"Hyalotheca","Procladius",1,1
507,"Hyalotheca","Macropelopis",1,1
508,"Hyalotheca","Larsia",1,1
509,"Hyalotheca","Guttipelopia",1,1
510,"Hyalotheca","Djalmabatista",1,1
511,"Hyalotheca","Clinotanypus",1,1
512,"Hyalotheca","Albabesmyia",1,1
513,"Hyalotheca","Chaoborus punctipennis",1,1
514,"Hyalotheca","Chaoborus albatus",1,1
515,"Hyalotheca","Sphaeromais",1,1
516,"Hyalotheca","Bezzia",1,1
517,"Hyalotheca","Lepidoptera Pyralidae eoparagyractis",1,1
518,"Hyalotheca","Magaloptera Sialis",1,1
519,"Hyalotheca","Cladopelma",1,1
520,"Hyalotheca","Hemiptera Notonectids",1,1
521,"Hyalotheca","Hemiptera Veliidae",1,1
522,"Hyalotheca","Gyrinus",1,1
523,"Hyalotheca","Neuroptera Climacia",1,1
524,"Hyalotheca","Chironomus",1,1
525,"Hapalosiphon","Parachironomus",1,1
526,"Hapalosiphon","Microtendipes",1,1
527,"Hapalosiphon","Glyptotendipes",1,1
528,"Hapalosiphon","Paratanytarsus",1,1
529,"Hapalosiphon","Cricotopus",1,1
530,"Hapalosiphon","Corynoneura",1,1
531,"Hapalosiphon","Chaetocladius",1,1
532,"Hapalosiphon","Procladius",1,1
533,"Hapalosiphon","Macropelopis",1,1
534,"Hapalosiphon","Larsia",1,1
535,"Hapalosiphon","Guttipelopia",1,1
536,"Hapalosiphon","Djalmabatista",1,1
537,"Hapalosiphon","Clinotanypus",1,1
538,"Hapalosiphon","Albabesmyia",1,1
539,"Hapalosiphon","Chaoborus punctipennis",1,1
540,"Hapalosiphon","Chaoborus albatus",1,1
541,"Hapalosiphon","Sphaeromais",1,1
542,"Hapalosiphon","Bezzia",1,1
543,"Hapalosiphon","Lepidoptera Pyralidae eoparagyractis",1,1
544,"Hapalosiphon","Magaloptera Sialis",1,1
545,"Hapalosiphon","Cladopelma",1,1
546,"Hapalosiphon","Hemiptera Notonectids",1,1
547,"Hapalosiphon","Hemiptera Veliidae",1,1
548,"Hapalosiphon","Gyrinus",1,1
549,"Hapalosiphon","Neuroptera Climacia",1,1
550,"Hapalosiphon","Chironomus",1,1
551,"Groenbladia","Parachironomus",1,1
552,"Groenbladia","Microtendipes",1,1
553,"Groenbladia","Glyptotendipes",1,1
554,"Groenbladia","Corynoneura",1,1
555,"Groenbladia","Chaetocladius",1,1
556,"Groenbladia","Procladius",1,1
557,"Groenbladia","Macropelopis",1,1
558,"Geminella","Parachironomus",1,1
559,"Geminella","Microtendipes",1,1
560,"Geminella","Glyptotendipes",1,1
561,"Geminella","Corynoneura",1,1
562,"Geminella","Chaetocladius",1,1
563,"Geminella","Procladius",1,1
564,"Geminella","Macropelopis",1,1
565,"Desmidium","Parachironomus",1,1
566,"Desmidium","Microtendipes",1,1
567,"Desmidium","Glyptotendipes",1,1
568,"Desmidium","Paratanytarsus",1,1
569,"Desmidium","Cricotopus",1,1
570,"Desmidium","Corynoneura",1,1
571,"Desmidium","Chaetocladius",1,1
572,"Desmidium","Procladius",1,1
573,"Desmidium","Macropelopis",1,1
574,"Desmidium","Larsia",1,1
575,"Desmidium","Guttipelopia",1,1
576,"Desmidium","Djalmabatista",1,1
577,"Desmidium","Clinotanypus",1,1
578,"Desmidium","Albabesmyia",1,1
579,"Desmidium","Chaoborus punctipennis",1,1
580,"Desmidium","Chaoborus albatus",1,1
581,"Desmidium","Sphaeromais",1,1
582,"Desmidium","Bezzia",1,1
583,"Desmidium","Lepidoptera Pyralidae eoparagyractis",1,1
584,"Desmidium","Magaloptera Sialis",1,1
585,"Desmidium","Cladopelma",1,1
586,"Desmidium","Hemiptera Notonectids",1,1
587,"Desmidium","Hemiptera Veliidae",1,1
588,"Desmidium","Gyrinus",1,1
589,"Desmidium","Neuroptera Climacia",1,1
590,"Desmidium","Chironomus",1,1
591,"Bulbochaete","Parachironomus",1,1
592,"Bulbochaete","Microtendipes",1,1
593,"Bulbochaete","Glyptotendipes",1,1
594,"Bulbochaete","Paratanytarsus",1,1
595,"Bulbochaete","Cricotopus",1,1
596,"Bulbochaete","Corynoneura",1,1
597,"Bulbochaete","Chaetocladius",1,1
598,"Bulbochaete","Procladius",1,1
